"property_id","price"
"d56159653f5d2abc5ed5acd7",469400000
"45550aa81c0151f1fd9fd8fe",475200000
"735deef3382aa15930482f3e",624500000
"0dd49fa8bb7be52b851c6dc9",757800000
"7d3220a91e78f8bc2924d1cd",752100000
"d3054072b2175deec2c1f8dc",475200000
"b7574b06d593fca4eac59815",475200000
"79e822115c5c1a4531366001",588300000
"d3ed5316a463d38c1bd321d0",5.53e+08
"2f1880c9b8f7ac2715e1236d",538700000
"dcca1c7f109175760ff531c6",588300000
"dfc4f3facf91bbd93ee0fa4d",368800000
"30e134a6cbe61d7954d0f56b",475200000
"385fee7bd9ad7722d45dd034",430800000
"87199c236bf22903d1aafdd0",430800000
"19e19ad0cd6b5e84d8aa970e",421200000
"907f968e78d748fde69dd44f",430800000
"be094e5db0f784e3aa013aae",430800000
"7ab96f83915bc84f8c03c1bd",475200000
"07f4aa9b9ff5b0b05d31e6c0",646800000
"e9be8cd37abed8ab510ba1f5",469400000
"5f6ad58df27b562db077b5ce",646800000
"ee96d947484aaace40f9b77f",5.53e+08
"15c4aef8401208054697b81e",967900000
"22d6cb11333f2839b8112b89",757800000
"288c09c33907dadbae495c11",967900000
"f71d2bca0c5fe2720a1544c4",475200000
"451744cf3ce55a98db8a3562",421200000
"fba9ae05a6a8a9e0c6268a9f",368800000
"1338e58f7dcebf5a1ea59388",421200000
"a817e8da0ada143ac87277ee",368800000
"46d8bb3e9a0ca584d3c7a317",475200000
"b2506aa9463aebf01e1e00ca",475200000
"7ec025b9b6e6f33bf65af41b",475200000
"2ff531e27672ecd2362eed55",475200000
"9b3cf0d1b91b9c6a2a887647",538700000
"7db5291ce4602d9b2b266872",538700000
"65d5918e826c33bb950fc008",624500000
"395c34e4b8f52cbdb0522459",475200000
"855f4b67d2bd6d18fd03d8e7",430800000
"9ff06409b37e5b5dece4604a",624500000
"0508cd7bd2c77ebb6fea1e56",5.89e+08
"b45fff2e718e54772d46a3fd",475200000
"cf4d2297b73dbc357d21e31b",5.89e+08
"0ada7044c5b29925abc90879",475200000
"6305f02255274ab5fb6bd39c",624500000
"d9a94194ae1350512beff3e6",624500000
"e3896296cb80d50d9ad3f903",624500000
"6514f355887c64136edb5595",624500000
"f03400cc18e12903b3ffbe5a",913500000
"4e134600155a64783b3f8c3e",588300000
"d63ebc63c82fbf66d8b6ffd3",5.53e+08
"1bd64811bd59706844230198",913500000
"a83921284639eedd4a511cb6",673100000
"a2f3f7a1cd573e2a33f52e2d",752100000
"47344a66471fa51f61c64652",752100000
"78fd849c9429091347d7e5c9",5.53e+08
"c3daf2abea55af99c9579319",752100000
"52864916eb1984abca41ec66",913500000
"c62494a9d7aede44f2f84023",757800000
"a2b576643f7a032371587e5e",913500000
"e53bc68f0e97ccead24f3e56",624500000
"fd82c710aad91bc90af490fe",475200000
"d436abc2ee37ba3dd561e940",757800000
"216a598114a403676011cb51",538700000
"ea230d5eccd2b687888173bb",762700000
"18bd0dd7580f2a7cb19a90b9",368800000
"b143c8ca6d334f6a73c3f2a0",430800000
"ab388cb4fa511968783bafee",475200000
"6a4f08cd04d558a56af732d9",430800000
"7216c895aa047c4f405c4941",5.53e+08
"a493488dcd906dc74cf8a604",430800000
"7844b0b2bc65dced90a355c6",761700000
